price	n_bedrooms	place	url	address	distance	time
$1535	1br	LA JOLLA/ SAN DIEGO	https://sandiego.craigslist.org//csd/apa/5444069636.html	8532 VIA MALLORCA	2.6 mi	7 mins
$1480	1br		https://sandiego.craigslist.org//csd/apa/5443992424.html	Genesee Ave. at Fez St.	7.0 mi	13 mins
$1850	3br	CLAIREMONT	https://sandiego.craigslist.org//csd/apa/5443455344.html	6520 Beadnell Way	10.2 mi	17 mins
$3237	2br	San Diego, UTC, La Jolla	https://sandiego.craigslist.org//csd/apa/5454274451.html	9253 regents road	3.0 mi	8 mins
$2775	3br	GOLDEN TRIANGLE, UCSD	https://sandiego.craigslist.org//csd/apa/5443612479.html	9085 Judicial Drive	3.5 mi	11 mins
$2775	3br	GOLDEN TRIANGLE, UCSD	https://sandiego.craigslist.org//csd/apa/5453626897.html	9085 Judicial Drive	3.5 mi	11 mins
$1495	2br	Pacific Beach -- UCSD - La Jolla	https://sandiego.craigslist.org//csd/apa/5430101838.html	Figueroa at Bond	7.3 mi	14 mins
$2145	2br	UTC, La Jolla, UCSD	https://sandiego.craigslist.org//csd/apa/5418955549.html	3985 Nobel Drive	3.2 mi	9 mins
$1622	1br	UCSD	https://sandiego.craigslist.org//csd/apa/5452885515.html	7015 charmant Dr	3.5 mi	11 mins
$2250	2br	University City/UTC/UCSD	https://sandiego.craigslist.org//csd/apa/5451943828.html	agee at governor Drive	5.0 mi	15 mins
$3425	3br	GOLDEN TRIANGLE, UCSD	https://sandiego.craigslist.org//csd/apa/5449093695.html	9085 Judicial Drive	3.5 mi	11 mins
$3425	3br	GOLDEN TRIANGLE, UCSD	https://sandiego.craigslist.org//csd/apa/5447855113.html	9085 Judicial Drive	3.5 mi	11 mins
$1575	1br	UTC/LA JOLLA/UCSD	https://sandiego.craigslist.org//nsd/apa/5445373938.html	3989 Nobel Dr.	3.1 mi	9 mins
$2450	3br	UCSD/UTC Area of San Diego	https://sandiego.craigslist.org//csd/apa/5404381203.html	7853 Camino Tranquilo	3.5 mi	11 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5450497435.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5450509057.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5450550495.html	4525 Campus Ave	15.2 mi	21 mins
$1750	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5454254068.html	4023 First Ave		
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5454226166.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5454227703.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5454223175.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5454225241.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5454191903.html	3520 Lebon	2.6 mi	8 mins
$2850	3br	Torrey Hills/ Carmel Valley/ Del Mar	https://sandiego.craigslist.org//csd/apa/5454119625.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2025	1br	Torrey Hills/ Carmel Valley/ Del Mar	https://sandiego.craigslist.org//csd/apa/5454101174.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2750	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5454107982.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$1295		1129 Torrey Pines/La Jolla/San Diego	https://sandiego.craigslist.org//nsd/apa/5453973531.html	1129 Torrey Pines	1,294 mi	18 hours 4 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5453987246.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5453986202.html	3520 Lebon	2.6 mi	8 mins
$2000	2br	La Jolla Village	https://sandiego.craigslist.org//nsd/apa/5439057033.html	8533 Villa La Jolla Dr.	2.2 mi	6 mins
$2240	2br	La Jolla / UTC	https://sandiego.craigslist.org//csd/apa/5453928603.html	8506 Villa la jolla Drive	2.2 mi	6 mins
$1995	3br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5449133643.html	17th Street at Island Street	16.2 mi	22 mins
$2125	2br	UTC, LA JOLLA, MIRAMAR, MIRA MESA	https://sandiego.craigslist.org//csd/apa/5444944281.html	9085 JUDICIAL DR	3.5 mi	11 mins
$2050	2br	UTC, GOLDEN TRIANGLE, MIRAMAR	https://sandiego.craigslist.org//csd/apa/5444921177.html	9085 Judicial Dr	3.5 mi	11 mins
$1850	2br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5453748223.html	8320 Regents Rd	3.6 mi	10 mins
$2125	2br	UTC, GOLDEN TRIANGLE, MIRAMAR	https://sandiego.craigslist.org//csd/apa/5453632631.html	9085 Judicial Dr	3.5 mi	11 mins
$2380	2br	La Jolla / UTC	https://sandiego.craigslist.org//csd/apa/5453683402.html	8506 Villa la jolla Drive	2.2 mi	6 mins
$215	1br		https://sandiego.craigslist.org//csd/apa/5453712233.html	410 Elm St	3,121 mi	1 day 21 hours
$1665	1br	UTC / La Jolla / University City	https://sandiego.craigslist.org//csd/apa/5453668720.html	4247 Nobel Dr.	3.5 mi	10 mins
$1615	1br	UTC/La Jolla	https://sandiego.craigslist.org//nsd/apa/5431986047.html	Caminito Plaza Centro at Nobel	2.7 mi	8 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5453669524.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$3200	2br	Del Mar	https://sandiego.craigslist.org//nsd/apa/5449136678.html	13074 Caminito Cristobal	5.6 mi	10 mins
$1495	1br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5453608641.html	9515 Genesee Ave	2.3 mi	7 mins
$3000	3br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5429500788.html	8988 Caminito Verano	1.9 mi	6 mins
$1250		Hillcrest, San Diego	https://sandiego.craigslist.org//csd/apa/5449087090.html	1751 University Ave	2,173 mi	1 day 7 hours
$2800	2br	Solana Beach	https://sandiego.craigslist.org//nsd/apa/5453156950.html	highland at stevens	19.0 mi	26 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449698497.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449701427.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449704971.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449948065.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449696111.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449703430.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5449709056.html	3520 Lebon	2.6 mi	8 mins
$1750	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5453082764.html	4023 First Ave		
$1550	1br	Charmant Dr & Lebon	https://sandiego.craigslist.org//csd/apa/5453005592.html	Charmant Drive at Lebon	3.3 mi	10 mins
$1000		Del Mar	https://sandiego.craigslist.org//csd/apa/5429735022.html	Voyager Cir	6.6 mi	11 mins
$1000		Del Mar	https://sandiego.craigslist.org//csd/apa/5420953869.html	Voyager cir at Lower Ridge Rd	6.6 mi	11 mins
$1000		Del Mar	https://sandiego.craigslist.org//csd/apa/5420958689.html	Voyager Cir	6.6 mi	11 mins
$2900	3br	UTC, SAN DIEGO, LA JOLLA, TORREY HILLS	https://sandiego.craigslist.org//csd/apa/5452909184.html	9085 Judicial Drive	3.5 mi	11 mins
$1700	1br	7545 Charment Dr #1307	https://sandiego.craigslist.org//csd/apa/5427481596.html	Charmant Drive	3.3 mi	10 mins
$1800	1br	UTC, La Jolla, University City	https://sandiego.craigslist.org//csd/apa/5451525728.html	nobel dr at regents rd	3.5 mi	10 mins
$1667	1br	UTC/ La Jolla/ University City	https://sandiego.craigslist.org//csd/apa/5452762992.html	4247 Nobel Dr.	3.5 mi	10 mins
$1901	3br	Lake Murray, La Mesa, San Diego	https://sandiego.craigslist.org//esd/apa/5443552082.html	5780 Jackson Dr	22.2 mi	28 mins
$2495	3br	UTC	https://sandiego.craigslist.org//csd/apa/5452685559.html	Camino Tranquilo at Camino Lindo	3.6 mi	11 mins
$1750	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5452567902.html	4023 First Ave		
$2210	2br	UTC/La Jolla	https://sandiego.craigslist.org//nsd/apa/5452550716.html	7936 Avenida Navidad	3.8 mi	12 mins
$2115	2br	UTC, La Jolla	https://sandiego.craigslist.org//csd/apa/5452489549.html	3845 Nobel Drive	3.0 mi	9 mins
$2240	2br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5452439408.html	7936 Avenida Navidad	3.8 mi	12 mins
$2800	3br	San Diego	https://sandiego.craigslist.org//csd/apa/5452442568.html	4210 Porte de Palmas	3.2 mi	10 mins
$2195	2br	4747 hamilton street	https://sandiego.craigslist.org//csd/apa/5439966481.html	Hamilton at Adams	15.7 mi	22 mins
